Code,Message,Module
ADVOCATE_REGISTERED,"Hello,
Your registration request has been approved. You can now log in to the 24x7 ON Courts platform to access your account.
- ON Courts",notification
ADVOCATE_REJECTED,"Hello,
Your registration request in ON Courts has been rejected. Please log in to oncourts.kerala.gov.in to correct and resubmit the request.
- ON Courts",notification
APPLICATION_SUBMITTED,"Hello,
A {{partyType}} has made a submission in your case {{cmpNumber}}. Log in to oncourts.kerala.gov.in for details.
- ON Courts",notification
BAIL_BOND_INITIATED_LITIGANT,"Hello,
Please e-Sign the Bail Bond for your case {{courtCaseNumber}} here: {{shortenedUrl}}
- ON Courts",notification
BAIL_BOND_INITIATED_SURETY,"Hello,
Please e-Sign the Bail Bond as surety for case {{courtCaseNumber}} here: {{shortenedUrl}}
- ON Courts",notification
CASE_ADMITTED,"Hello,
Cognizance of your case {{cmpNumberForCognizance}} has been taken. Your new case number is {{courtCaseNumber}}. Log in to oncourts.kerala.gov.in for details.
- ON Courts",notification
CASE_FILED,"Hello,
Your case {{efilingNumber}} has been successfully filed and is under scrutiny. Log in to oncourts.kerala.gov.in to view updates.
- ON Courts",notification
CASE_STATUS_CHANGE_MESSAGE,"Hello,
Your case {{cmpNumber}} has moved to the {{subStage}} stage. Log in to oncourts.kerala.gov.in for details.
- ON Courts",notification
DOCUMENT_SUBMITTED,"Hello,
A submission has been made by your counsel in case {{cmpNumber}}. Log in to oncourts.kerala.gov.in for details.
- ON Courts ",notification
ERRORS_PENDING,"Hello,
You have errors pending in case {{efilingNumber}}. Log in to oncourts.kerala.gov.in if you wish to rectify and resubmit the case.
- ON Courts",notification
ESIGN_PENDING,"Hello,
The eSignature for case E-filing number {{efilingNumber}} is pending. The case will be filed after eSignature is completed.
-ON Courts",notification
ESIGN_PROCESS_FAILED,Case stage could not be updated. Please try again.,rainmaker-common
EVIDENCE_ACCUSED_PUBLISHED,"Hello,
The hearing for case {{cmpNumber}} is scheduled on {{hearingDate}} for Evidence of Accused hearing. Visit the 24x7 ON Courts platform for more details.
-ON Courts",notification
EVIDENCE_COMPLAINANT_PUBLISHED,"Hello,
The hearing for case {{cmpNumber}} is scheduled on {{hearingDate}} for Evidence of Complainant hearing. Visit the 24x7 ON Courts platform for more details.
-ON Courts",notification
FSO_SEND_BACK,"Hello,
Errors have been identified in case {{efilingNumber}} during scrutiny. Log in to oncourts.kerala.gov.in to rectify the file within 3 days.
- ON Courts",notification
